cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      x-velocity,      y-velocity,      z-velocity,       argon-vof,       steel-vof,        slag-vof,         air-vof
         1, 3.591275197E-01,-9.268347275E-01, 1.806360411E+00, 9.855977539E+03, 9.353178903E-04, 2.784757875E-03,-1.231370773E-02, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 3.768578745E-01,-9.255305700E-01, 1.805400703E+00, 9.920448242E+03, 1.677870867E-03, 1.025827136E-03,-1.647278853E-02, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         3, 3.583420789E-01,-9.057091860E-01, 1.806466787E+00, 9.846089844E+03, 1.597246970E-03,-4.947795605E-05,-2.064097906E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         4, 3.595487181E-01,-9.268134574E-01, 1.824761840E+00, 8.592983398E+03,-1.471203752E-02,-3.523079213E-03,-1.195525471E-02, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 3.787434500E-01,-9.073843026E-01, 1.805303785E+00, 9.925530273E+03,-7.869499386E-04,-6.007396616E-03,-1.369451755E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 3.775089995E-01,-9.249843691E-01, 1.823805641E+00, 8.655536133E+03,-2.357781306E-02,-1.527782623E-02,-9.720490780E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         7, 3.583420789E-01,-8.868419856E-01, 1.806466787E+00, 9.845440430E+03, 5.548831541E-04,-4.103073385E-03,-1.631739317E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 3.583420794E-01,-9.057091826E-01, 1.824787907E+00, 8.587840820E+03,-6.642559543E-03,-5.095965229E-03,-5.033701309E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
         9, 3.394748750E-01,-9.057091860E-01, 1.806466786E+00, 9.846192383E+03, 8.584384341E-04,-8.531787433E-03,-2.207377926E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        10, 3.598988330E-01,-9.266111161E-01, 1.846873149E+00, 7.217291504E+03,-2.364544012E-02,-8.771355264E-03,-7.481499109E-03, 0.000000000E+00, 6.327245831E-01, 3.672754169E-01, 0.000000000E+00
        11, 3.416506733E-01,-9.271323499E-01, 1.824893293E+00, 8.586187500E+03,-6.432643626E-03,-9.751759470E-03,-8.946320973E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 3.979773527E-01,-9.073097345E-01, 1.805014999E+00, 9.946807617E+03,-1.004086714E-02,-2.893476281E-03, 4.452826033E-05, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        13, 3.772092829E-01,-8.868419856E-01, 1.806466786E+00, 9.845195313E+03,-2.003773261E-04,-5.836421158E-03,-8.300560876E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 3.788945527E-01,-9.073412614E-01, 1.822828138E+00, 8.721390625E+03, 3.067102050E-03,-2.275499050E-03, 3.612178378E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        15, 3.947985274E-01,-9.231981089E-01, 1.825275672E+00, 8.556889648E+03,-3.376419470E-02,-4.368388094E-03,-4.160565138E-02, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        16, 3.764210683E-01,-9.254679747E-01, 1.847942217E+00, 7.164479004E+03,-2.653144486E-02,-1.337338239E-02, 2.003476955E-03, 0.000000000E+00, 5.691318512E-01, 4.308681190E-01, 0.000000000E+00
        17, 3.583420789E-01,-8.679747780E-01, 1.806466785E+00, 9.845128906E+03, 1.178899896E-03,-7.157045417E-03,-2.008515410E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 3.583420794E-01,-8.868419769E-01, 1.824787907E+00, 8.586765625E+03, 9.567283560E-04,-6.937365979E-03,-3.734639613E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        19, 3.394748750E-01,-8.868419856E-01, 1.806466786E+00, 9.845008789E+03, 1.140631270E-03,-8.727972396E-03,-2.316405997E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        20, 3.583420794E-01,-9.057091826E-01, 1.847698081E+00, 7.176023926E+03,-2.959664911E-03,-1.159674115E-02, 6.325313589E-04, 0.000000000E+00, 5.786612630E-01, 4.213387668E-01, 0.000000000E+00
        21, 3.394748737E-01,-9.057091826E-01, 1.824787907E+00, 8.587755859E+03,-5.950158928E-03,-1.011964865E-02,-5.662408657E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        22, 3.593444530E-01,-9.270523550E-01, 1.870066796E+00, 6.185656738E+03, 1.215094421E-02,-3.423819318E-02, 3.543251893E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        23, 3.417178023E-01,-9.269848519E-01, 1.846855123E+00, 7.216267090E+03,-9.783631191E-03,-1.655159891E-02,-1.843866892E-03, 0.000000000E+00, 6.442320347E-01, 3.557679653E-01, 0.000000000E+00
        24, 4.148019802E-01,-9.061431093E-01, 1.806234062E+00, 9.863310547E+03,-9.344040416E-03,-3.136993153E-03,-2.709416440E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        25, 3.960764904E-01,-8.868419856E-01, 1.806466786E+00, 9.845490234E+03,-9.055160917E-04,-4.511296283E-03,-1.082761213E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 3.973352060E-01,-9.081675106E-01, 1.823753895E+00, 8.660733398E+03, 3.239778057E-02,-3.097648174E-02, 5.323996302E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        27, 3.772092829E-01,-8.679747780E-01, 1.806466784E+00, 9.845294922E+03, 3.586206585E-04,-6.512161810E-03,-1.673422172E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 3.772092851E-01,-8.868419769E-01, 1.824787907E+00, 8.585582031E+03, 1.521281665E-03,-5.438089836E-03, 2.337915503E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 3.772092851E-01,-9.057091826E-01, 1.847698081E+00, 7.177604980E+03,-2.360201208E-03,-1.406955440E-02, 4.068155307E-03, 0.000000000E+00, 5.810248852E-01, 4.189751446E-01, 0.000000000E+00
        30, 3.941375125E-01,-9.228937209E-01, 1.848005661E+00, 7.163596191E+03,-1.776804589E-02,-8.720316924E-03,-3.015231341E-02, 0.000000000E+00, 5.846277475E-01, 4.153722525E-01, 0.000000000E+00
        31, 3.767191243E-01,-9.259715440E-01, 1.870553887E+00, 6.167362305E+03, 9.405731224E-03, 5.084947683E-03, 2.056782832E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        32, 3.583420789E-01,-8.491075633E-01, 1.806466785E+00, 9.844937500E+03, 2.108343178E-03,-9.007920511E-03,-2.382040257E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 3.583420794E-01,-8.679747712E-01, 1.824787907E+00, 8.586351563E+03, 1.771629206E-03,-8.615162224E-03,-7.093869499E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        34, 3.394748750E-01,-8.679747780E-01, 1.806466784E+00, 9.844674805E+03, 1.892131870E-03,-9.205784649E-03,-2.442019060E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        35, 3.583420794E-01,-8.868419769E-01, 1.847698081E+00, 7.177053711E+03, 1.472168806E-04,-1.205835398E-02, 4.040771164E-04, 0.000000000E+00, 5.816871524E-01, 4.183128774E-01, 0.000000000E+00
        36, 3.394748737E-01,-8.868419769E-01, 1.824787907E+00, 8.586955078E+03, 8.505511214E-04,-9.654498659E-03,-8.674165583E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        37, 3.583420794E-01,-9.057091826E-01, 1.870608255E+00, 6.164473145E+03,-2.061392443E-04,-2.386461385E-02, 1.613849658E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        38, 3.394748737E-01,-9.057091826E-01, 1.847698081E+00, 7.175600098E+03,-2.035418991E-03,-1.550561842E-02, 5.645715282E-04, 0.000000000E+00, 5.785894990E-01, 4.214105010E-01, 0.000000000E+00
        39, 3.595444389E-01,-9.265733191E-01, 1.893623177E+00, 5.375629395E+03, 1.357120695E-03,-9.868994355E-03, 4.971986637E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        40, 3.565752140E-01,-9.417567674E-01, 1.872784909E+00, 6.092546387E+03,-2.326665819E-02,-2.445995808E-03,-1.916349865E-02, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        41, 3.412289568E-01,-9.263809825E-01, 1.868844993E+00, 6.227678711E+03,-1.247418299E-02, 1.559248380E-02, 8.229690604E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        42, 3.389084773E-01,-9.434482071E-01, 1.847228149E+00, 7.196406250E+03,-1.132933516E-02,-8.332975209E-03,-6.230228581E-03, 0.000000000E+00, 6.329019666E-01, 3.670980632E-01, 0.000000000E+00
        43, 4.315102419E-01,-9.035637154E-01, 1.806691988E+00, 9.832328125E+03,-8.106041700E-03,-3.078687005E-03,-4.078448191E-02, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        44, 4.149434733E-01,-8.868417620E-01, 1.806467286E+00, 9.846178711E+03,-7.574188639E-04,-1.701804576E-03,-1.072787680E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        45, 4.147155329E-01,-9.068131298E-01, 1.824604920E+00, 8.602153320E+03, 1.883550733E-02, 9.179160930E-03,-8.526151069E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        46, 3.960764904E-01,-8.679747780E-01, 1.806466784E+00, 9.845359375E+03,-5.084451404E-04,-5.568715278E-03,-1.432660269E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        47, 3.960764907E-01,-8.868419769E-01, 1.824787907E+00, 8.587021484E+03, 2.269481774E-03,-2.237375267E-02,-1.137769068E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        48, 3.973582534E-01,-9.076657040E-01, 1.847791447E+00, 7.174767578E+03,-1.631930121E-03,-1.799811982E-02, 4.694140516E-03, 0.000000000E+00, 5.840777755E-01, 4.159222543E-01, 0.000000000E+00
        49, 3.772092829E-01,-8.491075633E-01, 1.806466784E+00, 9.845207031E+03, 1.515672426E-03,-7.693890482E-03,-2.203289885E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        50, 3.772092851E-01,-8.679747712E-01, 1.824787907E+00, 8.585941406E+03, 1.105866395E-03,-8.181661367E-03,-4.857240710E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        51, 3.772092851E-01,-8.868419769E-01, 1.847698081E+00, 7.177576172E+03,-2.661144827E-04,-1.266545337E-02, 6.116118166E-04, 0.000000000E+00, 5.808221698E-01, 4.191778600E-01, 0.000000000E+00
        52, 3.772092851E-01,-9.057091826E-01, 1.870608255E+00, 6.164458984E+03, 9.560285253E-04, 1.793595729E-03, 3.777401755E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        53, 3.946798443E-01,-9.235834028E-01, 1.870880047E+00, 6.156359863E+03, 3.313900670E-03,-3.176246828E-04,-1.725076884E-02, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        54, 3.774483332E-01,-9.261780285E-01, 1.893516310E+00, 5.379137695E+03,-4.439727345E-04, 1.280260156E-03, 2.852130681E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        55, 3.583420789E-01,-8.302403558E-01, 1.806466787E+00, 9.844721680E+03, 3.130169585E-03,-1.032256708E-02,-2.686127322E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        56, 3.583420794E-01,-8.491075655E-01, 1.824787907E+00, 8.586416992E+03, 2.534468425E-03,-9.822063148E-03,-1.019127318E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        57, 3.394748750E-01,-8.491075633E-01, 1.806466784E+00, 9.844639648E+03, 2.697415417E-03,-1.007678825E-02,-2.602562308E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        58, 3.583420794E-01,-8.679747712E-01, 1.847698081E+00, 7.177465332E+03, 1.414030557E-03,-1.144568250E-02, 2.370639268E-04, 0.000000000E+00, 5.816001296E-01, 4.183999002E-01, 0.000000000E+00
        59, 3.394748737E-01,-8.679747712E-01, 1.824787907E+00, 8.586537109E+03, 2.230925718E-03,-9.781724773E-03,-1.045058831E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        60, 3.583420794E-01,-8.868419769E-01, 1.870608255E+00, 6.163619629E+03, 1.981033856E-04,-1.334461663E-02, 1.066177269E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        61, 3.394748737E-01,-8.868419769E-01, 1.847698081E+00, 7.177312012E+03, 7.210724289E-04,-1.357852761E-02, 2.346021211E-04, 0.000000000E+00, 5.803120136E-01, 4.196880162E-01, 0.000000000E+00
        62, 3.583420794E-01,-9.057091826E-01, 1.893518430E+00, 5.378008789E+03, 1.255511190E-03,-9.368123487E-03, 3.073487431E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        63, 3.394748737E-01,-9.057091826E-01, 1.870608255E+00, 6.164312988E+03,-1.360697090E-03, 7.669473533E-03, 1.416900195E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        64, 3.600762829E-01,-9.268823752E-01, 1.916530075E+00, 4.589064453E+03, 3.044429934E-03,-9.585549124E-03, 4.950076807E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        65, 3.562755787E-01,-9.414391953E-01, 1.893846027E+00, 5.368872559E+03,-2.745022764E-03,-3.628739389E-03,-1.201197039E-02, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        66, 3.394748737E-01,-9.245763883E-01, 1.893518430E+00, 5.379121582E+03, 3.290004679E-04, 5.590942455E-04, 7.257286925E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        67, 3.397142490E-01,-9.431851047E-01, 1.870042077E+00, 6.187097656E+03, 2.998947457E-04,-1.676804502E-03, 2.481443109E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        68, 4.346652166E-01,-8.884458946E-01, 1.806507968E+00, 9.844273438E+03,-2.321226930E-05,-6.971205119E-03,-6.691068993E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        69, 4.318673114E-01,-9.042047306E-01, 1.825050832E+00, 8.572053711E+03, 4.876330495E-03, 2.374431118E-03,-2.641453221E-02, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        70, 4.149436980E-01,-8.679747780E-01, 1.806466784E+00, 9.846570313E+03,-8.717347519E-04,-1.610580948E-03,-2.288718242E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        71, 4.149436967E-01,-8.868419775E-01, 1.824787908E+00, 8.588775391E+03, 2.584268339E-03, 4.783766344E-03,-9.257573402E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        72, 4.152471320E-01,-9.070919326E-01, 1.847702087E+00, 7.180922852E+03,-3.083829302E-03,-1.556427567E-03,-1.730571094E-04, 0.000000000E+00, 5.823493600E-01, 4.176506400E-01, 0.000000000E+00
        73, 3.960764904E-01,-8.491075633E-01, 1.806466784E+00, 9.845478516E+03, 1.014009234E-03,-6.412377581E-03,-2.010351513E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        74, 3.960764907E-01,-8.679747712E-01, 1.824787907E+00, 8.586900391E+03, 4.500632058E-04,-1.337137539E-02,-3.575702140E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        75, 3.960764907E-01,-8.868419769E-01, 1.847698081E+00, 7.178110352E+03,-3.204852401E-04,-1.814098470E-02, 3.874561517E-04, 0.000000000E+00, 5.812543631E-01, 4.187456369E-01, 0.000000000E+00
        76, 3.978013022E-01,-9.079351823E-01, 1.870692746E+00, 6.162343262E+03, 9.870466311E-04,-4.671625327E-03, 4.659596365E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        77, 3.772092829E-01,-8.302403558E-01, 1.806466786E+00, 9.844981445E+03, 2.713689813E-03,-8.980169892E-03,-2.584876725E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        78, 3.772092851E-01,-8.491075655E-01, 1.824787907E+00, 8.586411133E+03, 1.929296413E-03,-9.471982718E-03,-8.789349813E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        79, 3.772092851E-01,-8.679747712E-01, 1.847698081E+00, 7.177644531E+03, 6.394281518E-04,-1.118868031E-02, 3.170746204E-04, 0.000000000E+00, 5.807842016E-01, 4.192158282E-01, 0.000000000E+00
        80, 3.772092851E-01,-8.868419769E-01, 1.870608255E+00, 6.163833496E+03,-5.225390123E-05,-2.107911976E-03, 1.160604414E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        81, 3.772092851E-01,-9.057091826E-01, 1.893518430E+00, 5.378435547E+03, 2.412435832E-03, 7.396508008E-04, 4.476751201E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        82, 3.951759301E-01,-9.242724142E-01, 1.893763591E+00, 5.370652832E+03,-2.524996409E-03,-2.622472355E-03,-1.097306423E-02, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        83, 3.779630118E-01,-9.264652756E-01, 1.916412630E+00, 4.592927734E+03, 2.398229262E-04, 1.369601814E-03, 4.001569003E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        84, 3.583420789E-01,-8.113731554E-01, 1.806466787E+00, 9.844525391E+03, 4.175544251E-03,-1.157183014E-02,-2.933283104E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        85, 3.583420794E-01,-8.302403599E-01, 1.824787907E+00, 8.586375977E+03, 3.287710482E-03,-1.075152773E-02,-1.265338506E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        86, 3.394748750E-01,-8.302403558E-01, 1.806466786E+00, 9.844551758E+03, 3.579308977E-03,-1.120224968E-02,-2.799694892E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        87, 3.583420794E-01,-8.491075655E-01, 1.847698081E+00, 7.177765625E+03, 2.377691213E-03,-1.093726605E-02, 1.131772369E-04, 0.000000000E+00, 5.808925033E-01, 4.191074967E-01, 0.000000000E+00
        88, 3.394748737E-01,-8.491075655E-01, 1.824787907E+00, 8.586435547E+03, 2.988423686E-03,-1.041522250E-02,-1.200745697E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
        89, 3.583420794E-01,-8.679747712E-01, 1.870608255E+00, 6.163413574E+03, 1.075892709E-03,-8.274255320E-03, 1.010010485E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        90, 3.394748737E-01,-8.679747712E-01, 1.847698081E+00, 7.177670898E+03, 2.032321179E-03,-1.188029721E-02, 1.296002156E-04, 0.000000000E+00, 5.799967051E-01, 4.200032651E-01, 0.000000000E+00
        91, 3.583420794E-01,-8.868419769E-01, 1.893518430E+00, 5.377391113E+03, 2.375223121E-04,-6.875501946E-03, 2.067853231E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        92, 3.394748737E-01,-8.868419769E-01, 1.870608255E+00, 6.163517578E+03, 4.033342993E-04,-1.356352936E-03, 1.114995568E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        93, 3.583420794E-01,-9.057091826E-01, 1.916428604E+00, 4.591663574E+03, 2.243620344E-03,-7.248631679E-03, 4.492711276E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        94, 3.394748737E-01,-9.057091826E-01, 1.893518430E+00, 5.378273438E+03,-2.684955871E-05,-1.069683640E-04, 2.549190773E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        95, 3.606071639E-01,-9.271804029E-01, 1.939434557E+00, 3.802666260E+03, 7.121903356E-03,-8.257875219E-03, 5.479668733E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        96, 3.569216132E-01,-9.421087980E-01, 1.916729919E+00, 4.582594727E+03,-4.112571012E-03,-4.625454545E-03,-6.327400450E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        97, 3.394748737E-01,-9.245763883E-01, 1.916428604E+00, 4.592349609E+03, 2.220154041E-03,-1.336272457E-03, 6.077700295E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        98, 3.389475258E-01,-9.432552044E-01, 1.893650070E+00, 5.375364258E+03,-1.311049098E-03, 9.329726890E-05, 4.756893031E-03, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00
        99, 4.526371683E-01,-8.876757211E-01, 1.806442779E+00, 9.849024414E+03,-2.910425828E-04, 8.989419439E-04, 2.618608996E-04, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
       100, 4.338109055E-01,-8.679747780E-01, 1.806466784E+00, 9.846031250E+03,-2.021954715E-04,-7.513396442E-03,-2.724825870E-03, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
